VistID,Time_Spent,Age,Avg_Income,Internet_Usage,Ad_Topic,Country_Name,City_Name,Sex,Time_Period,Weekday,Month,Year,Clicked
6286829,80.03,44,24030.06,150.84,product_2,Afghanistan,Christinetown,F,Noon,Saturday,July,2020,1
8572018,68.01,25,68357.96,188.32,product_4,Afghanistan,Kaylashire,M,Mid-Night,Friday,January,2020,0
1101842,45.99,33,51163.14,124.61,product_19,Afghanistan,South Mark,M,Noon,Saturday,February,2020,1
5774347,77.07,40,44559.43,261.02,product_4,Afghanistan,Stephenborough,F,Morning,Tuesday,March,2020,0
9737908,82.03,41,71511.08,187.53,product_3,Afghanistan,Pruittmouth,F,Early-Morning,Monday,May,2020,0
9475877,51.38,59,42362.49,158.56,product_2,Afghanistan,East Anthony,F,Evening,Friday,June,2020,1
5001979,51.87,50,51869.87,119.65,product_4,Afghanistan,Kevinberg,F,Night,Thursday,March,2020,1
2566513,61.88,45,38260.89,108.18,product_6,Afghanistan,North Debrashire,F,Morning,Monday,May,2020,1
9125388,57.82,20,31281,150.29,product_30,Albania,South Jasminebury,M,Morning,Saturday,May,2020,1
5353722,43.63,41,51662.24,123.25,product_29,Albania,Jordanshire,M,Noon,Tuesday,March,2020,1
5693443,36.73,34,46737.34,149.79,product_6,Albania,South Henry,M,Mid-Night,Monday,June,2020,1
1226392,81.11,27,66107.84,236.72,product_27,Albania,Jordanshire,F,Morning,Sunday,April,2020,1
1650378,72.08,50,61833.9,233.61,product_19,Albania,South Jasminebury,F,Evening,Saturday,July,2020,0
8736544,81.67,39,71222.4,184.03,product_29,Albania,Jordanshire,F,Noon,Saturday,May,2020,0
5408729,88.82,19,45593.93,193.6,product_29,Albania,South Henry,F,Evening,Saturday,March,2020,0
5647759,79.72,28,66025.11,193.8,product_17,Albania,Wrightburgh,M,Noon,Friday,May,2020,0
4453777,78.41,30,48376.14,183.48,product_9,Albania,Port Anthony,M,Noon,Saturday,March,2020,0
1932242,63.24,42,59458,137.63,product_15,Albania,Wongland,F,Noon,Friday,July,2020,1
3780412,42.83,38,59240,116.19,product_30,Albania,Wrightburgh,F,Mid-Night,Friday,July,2020,1
8024406,66,31,51824,169.23,product_11,Albania,Jordanshire,F,Night,Friday,January,2020,1
9350909,80.38,30,55130.96,238.06,product_10,Albania,Port Anthony,F,Early-Morning,Thursday,March,2020,0
9511418,56.46,26,66187.58,151.63,product_14,Albania,South Lisa,F,Evening,Thursday,April,2020,1
6565152,80.67,51,57260.41,226.69,product_25,Albania,Jordanshire,F,Mid-Night,Saturday,July,2020,0
1134385,81.25,50,58820.16,198.5,product_12,Albania,Port Anthony,M,Morning,Saturday,May,2020,0
9400784,71.05,46,57519.64,194.62,product_19,Albania,South Jasminebury,F,Morning,Saturday,March,2020,0
3141016,59.51,26,14776,153.17,product_29,Albania,Wongland,M,Night,Wednesday,April,2020,1
5275884,90.75,28,63430.33,245.89,product_15,Albania,Wongland,M,Morning,Friday,January,2020,0
6246628,69.42,53,56725.47,195.93,product_21,Albania,Jordanshire,M,Night,Friday,June,2020,0
7290257,66.12,22,37713,113.53,product_12,Albania,Wongland,M,Noon,Monday,June,2020,1
3784282,76.24,20,55424.24,202.9,product_30,Albania,South Lisa,F,Mid-Night,Friday,July,2020,0
2464372,87.3,28,55411.06,244.87,product_11,Albania,South Jasminebury,M,Night,Monday,January,2020,0
5661639,73.84,31,42042.95,121.05,product_23,Albania,South Jasminebury,F,Evening,Saturday,June,2020,1
2288306,91.1,25,49457.48,246.72,product_4,Albania,South Lisa,F,Early-Morning,Wednesday,April,2020,0
8185382,43.49,38,25739,122.45,product_11,Albania,Jordanshire,M,Mid-Night,Sunday,May,2020,1
9717264,76.06,24,56791.75,223.09,product_13,Albania,Wongland,F,Noon,Friday,June,2020,0
6115532,45.7,47,15879,115.6,product_15,Albania,Wongland,F,Mid-Night,Wednesday,April,2020,1
2598632,57.51,51,53310,166.85,product_10,Albania,Wrightburgh,M,Night,Tuesday,April,2020,1
7072651,72.84,26,52968.22,238.63,product_6,Albania,Wongland,F,Night,Friday,July,2020,0
3589278,53.92,29,55606,138.35,product_27,Albania,South Jasminebury,M,Early-Morning,Wednesday,February,2020,1
5685241,56.91,52,51824,154.97,product_14,Albania,South Jasminebury,F,Evening,Thursday,May,2020,1
3229167,55.77,23,51463,106.96,product_14,Albania,Wrightburgh,F,Morning,Friday,June,2020,1
8763017,39.85,49,76561,117.3,product_18,Albania,Wongland,F,Morning,Saturday,May,2020,1
4340376,78.36,30,69805.7,218.97,product_24,Algeria,Estesfurt,M,Mid-Night,Sunday,April,2020,0
6700306,45.48,30,31093,157.04,product_10,Algeria,Josephstad,F,Evening,Saturday,April,2020,1
6480528,82.41,34,65791.17,241.38,product_10,Algeria,Lake Danielle,F,Noon,Sunday,February,2020,0
5032833,70.66,50,56683,129.31,product_9,Algeria,Josephstad,M,Mid-Night,Saturday,July,2020,1
9661868,84.04,38,65816.38,246.44,product_19,Algeria,Lake Danielle,F,Noon,Wednesday,July,2020,0
6216400,70.66,47,51463,114.69,product_28,Algeria,New Sonialand,F,Evening,Thursday,July,2020,1
7111326,39.47,60,51813,143.13,product_28,Algeria,Lake David,F,Noon,Tuesday,July,2020,1
8880802,73.93,30,65421.39,188.27,product_27,Algeria,Josephstad,F,Mid-Night,Saturday,February,2020,0
5871859,70.44,24,65280.16,178.75,product_17,Algeria,New Sonialand,M,Night,Monday,June,2020,0
1830694,57.7,50,42898,118.69,product_18,Algeria,New Sonialand,M,Night,Sunday,April,2020,1
6066541,81.61,24,63319.99,202.12,product_23,Algeria,Josephstad,M,Evening,Monday,July,2020,0
9456890,72.23,38,28495,176.7,product_14,Algeria,Josephstad,M,Evening,Thursday,April,2020,1
7535392,74.49,23,70179.11,222.26,product_15,Algeria,New Maria,F,Mid-Night,Thursday,April,2020,0
9963910,79.18,31,58443.99,236.96,product_30,Algeria,Lake Danielle,F,Evening,Sunday,January,2020,0
1305134,81.32,35,68324.48,212.88,product_4,Algeria,New Sonialand,M,Night,Wednesday,January,2020,0
5228675,68.1,21,59797.64,198.86,product_18,Algeria,Lake Danielle,F,Mid-Night,Saturday,April,2020,0
1551508,76.07,25,61227.59,195.93,product_24,Algeria,New Sonialand,F,Mid-Night,Thursday,May,2020,0
3462309,76.28,47,66618.21,227.56,product_7,Algeria,Josephstad,F,Evening,Friday,April,2020,0
1231917,82.87,42,33502.57,237.34,product_11,Algeria,New Maria,M,Mid-Night,Friday,June,2020,0
3603845,77.2,26,48376.14,229.99,product_11,Algeria,Lake David,F,Early-Morning,Friday,February,2020,0
9080298,78.15,33,72042.85,194.37,product_14,Algeria,New Maria,F,Night,Monday,March,2020,0
4965807,75.64,45,58576.12,222.35,product_29,Algeria,Josephstad,M,Night,Monday,February,2020,0
7357614,84.37,40,71881.84,242.59,product_30,Algeria,Lake Danielle,M,Night,Sunday,January,2020,0
