date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-09-08 01:00:00,"59,83","7,56","3903,54","538,054","414,2071136364","9,07263","1,70093","298,443","304,192","298,411","304,2558180416","304,4739644156","353,383","234,059","414,98","463,006","405,581","367,527","346,965","452,182","351,081","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3882,74","543,518","414,111","9,07169","1,7011","299,224","306,848","303,19","304,2568329111","304,4741611766","339,51","226,56","388,754","462,3053333333","405,742","399,59","344,899","276,276","350,366","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3834,5","542,089","417,278","9,07075","1,70126","299,268","298,844","303,234","304,2578477806","304,4743579376","344,228","368,847","393,065","461,6046666667","396,546","427,803","333,837","237,451","331,036","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3896,34","533,301","416,66175","9,06981","1,70142","299,268","291,505","300,094","304,2588626501","304,4745546987","362,47","364,937","383,881","460,904","399,103","340,67","346,817","279,382","336,76","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3890,17","555,413","416,0455","9,06886","1,70159","298,851","308,642","298,676","304,2598775196","304,4747514597","356,6485","361,027","390,019","492,883","402,85","285,183","346,498","373,601","383,174","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3828,34","536,386","415,42925","9,06792","1,70175","299,661","299,178","298,608","304,260892389","304,4749482208","350,827","357,117","397,499","467,591","389,232","303,533","346,964","491,708","385,679","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3833,48","531,23","414,813","9,06876","1,70192","298,458","300,274","299,233","304,2619072585","304,4751449818","326,477","353,207","402,156","487,618","404,324","353,91","347,514","469,769","350,131","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3818,68","528,131","415,0171666667","9,06971","1,70208","299,424","291,672","298,44","304,262922128","304,4753417429","345,275","312,741","413,238","481,871","402,153","372,097","346,505","246,071","331,005","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3773,95","539,503","415,2213333333","9,07065","1,70224","299,072","291,553","302,754","304,2639369975","304,4755385039","368,337","271,195","396,857","462,154","396,35","364,547","346,962","208,05","316,901","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3788,39","543,05","415,4255","9,07159","1,70241","298,424","296,361","303,627","304,2649518669","304,475735265","336,092","330,513","393,991","458,528","396,03","389,947","353,249","256,498","320,336","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3766,82","542,636","415,6296666667","9,07253","1,70257","299,22","299,124","297,844","304,2659667364","304,475932026","329,425","325,21","400,983","454,902","396,54","427,975","344,227","345,631","336,745","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3688,78","553,56","415,8338333333",,"1,70274","300,306","295,323","297,51","304,2669816059","304,476128787","357,179","319,907","394,298","451,276","391,981","296,465","346,81","501,946","358,53","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3725,72","547,881","416,038","9,07442","1,7029","300,159","303,57","297,923","304,2679964754","304,4763255481","354,264","314,604","390,587","449,196","406,946","278,379","350,62","502,868","411,149","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3699,94","546,334","416,2421666667","9,07536","1,70307","300,561","305,552","303,957","304,2690113449","304,4765223091","343,621","309,301","398,403","434,676","397,217","296,887","347,212","487,587","398,243","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3664,41","541,088","416,4463333333","9,0763","1,70323","301,207","303,569","299,766","304,2700262143","304,4767190702","331,812","303,998","387,569","433,867","399,621","347,743","351,664","267,129","340,589","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3736,39","552,84","416,6505","9,07725","1,70339","300,831","297,029","299,074","304,2710410838","304,4769158312","367,333","250,496","415,623","440,267","398,791","394,916","343,652","199,92","313,746","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3736,21","550,142","416,8546666667","9,07819","1,70356","299,772","293,322","298,841","304,2720559533","304,4771125923","366,065","299,743","413,639","472,115","403,806","388,098","352,467","226,097","312,295","66,15","1,66"
2017-09-08 01:00:00,"59,83","7,56","3670,45","542,462","417,0588333333","9,07913","1,70372","300,327","304,278","299,242","304,2730708228","304,4773093533","338,144","306,7855","387,976","465,6956666667","400,063","380,517","344,242","269,57","304,508","66,15","1,66"
